sku,nombre,categoria,costo,precio_consignacion,precio_publico,comision_tienda,stock_central
7505368181253,Adaptador BT Aux,Producto en General,20,25.5,30,20,1
69155539230,Adaptador C-USB,Producto en General,40,51,60,20,4
7506240635109,Adaptador Enchufe EU Volteck,Producto en General,20,28.9,34,20,4
190198001771,Adaptador Lightning a 3.5,Producto en General,45,72.25,85,20,0
7503047240024,Aire Comprimido DesTec 500ml,Producto en General,52.5,110.5,130,20,10
7500916002370,Antena HDTV Digital,Producto en General,80,136,160,20,0
885397090083,Antena Wifi Mercusys,Producto en General,150,165.75,195,20,1
50510,Audifonos i15,Producto en General,40,102,120,20,1
50001,Audifonos Tipo Airpods,Producto en General,160,170,200,20,0
821808620029,Bomba Bluescape,Producto en General,40,68,80,20,2
7508314663803,Cable HDMI 1.5m,Producto en General,40,85,100,20,2
7508314662530,Cable HDMI 5m,Producto en General,80,136,160,20,1
41643273670,Camara Inalambrica,Producto en General,400,408,480,20,0
798302057838,Camara PTZ 2K NEXXT,Producto en General,350,467.5,550,20,1
7506227327102,Chip Telcel,Producto en General,10,42.5,50,20,0
195545026773,Colchón inflable para alberca,Producto en General,30,42.5,50,20,3
7890268125682,Convertidor AV a HDMI,Producto en General,80,127.5,150,20,0
65690,Convertidor HDMI-RCA,Producto en General,100,140.25,165,20,1
840414612198,Fire Stick HD,Producto en General,300,501.5,590,20,1
7506304311925,Foco Inteligente 10W,Producto en General,90,110.5,130,20,0
7501557390000,Foco Inteligente 9W,Producto en General,90,110.5,130,20,0
13093,Holder Celular Moto,Producto en General,20,51,60,20,1
4713435793947,Memoria Micro SD 32 GB ADATA,Producto en General,100,114.75,135,20,0
60708,Mica Iphone 6/7/8,Producto en General,15,34,40,20,0
7506435603210,Modem BAIT Portatil,Producto en General,500,510,600,20,1
615604993377,Mouse Alambrico,Producto en General,70,76.5,90,20,1
666666,Máscara Calavera LED,Producto en General,60,68,80,20,0
89898989,Máscara OSO/CONEJO,Producto en General,120,125,130,20,0
999999,Máscara Oso/Conejo LED,Producto en General,150,153,180,20,0
99669966,Máscara Sencilla,Producto en General,22,34,40,20,0
91625,OTG Iphone,Producto en General,60,76.5,90,20,0
7501388103008,OTG Tipo C,Producto en General,15,29.75,35,20,0
849439000423,Repetidor Mercusys MW325R,Producto en General,232,306,360,20,1
6935364070533,Router Inalámbrico Tp-Link TL-WR840N,Producto en General,300,323,380,20,0
6935364089351,Router Mercusys MW302R,Producto en General,250,270,290,20,0
5068,Smart Watch,Producto en General,80,127.5,150,20,1
888556165141,Toalla limpiadora para carro,Producto en General,10,12.75,15,20,5
6975440477009,Ventilador Rosa,Producto en General,20,42.5,50,20,1
6969202209281,Adaptador Tipo C a 3.5 Samsung,Cables,50,63.75,75,20,0
885909627363,Adaptador USB 5W con cable lightning,Cables,42,102,120,20,0
885909627349,Adaptador USB 5W con cable lightning,Cables,42,102,120,20,0
190198001795,Adapter lightning to Headphone Jack,Cables,50,63.75,75,20,0
7503031700190,Cable 1HORA C-C 1m,Cables,25,42.5,50,20,5
6974368773484,Cable C 1Hra Blanco,Cables,20,32.3,38,20,3
22,Cable C to C JAPI,Cables,20,55.25,65,20,2
888462496964,Cable C-C 2m Apple,Cables,35,68,80,20,3
194252750612,Cable C-C IPhone 1M,Cables,40,68,80,20,6
888462698429,Cable C-C Iphone 2m,Cables,70,93.5,110,20,0
15912009,Cable carga rápida C-C Samsung,Cables,35,68,80,20,1
7505599494023,Cable HDMI 3m Xinmi,Cables,22,59.5,70,20,0
7503028615124,Cable IP 1Hra 1m Caja Blanco,Cables,35,42.5,50,20,0
6901010101005,Cable Iphone 5G Epoch,Cables,15,17,20,20,4
52,Cable Iphone JAPI,Cables,14,34,40,20,2
4547597815526,Cable Iphone-USB 2M,Cables,70,102,120,20,0
885909627424,Cable Lightning to USB 1m,Cables,30,63.75,75,20,1
885909627448,Cable Lightning to USB 2m,Cables,30,85,100,20,1
190198496263,Cable Lightning-C IPhone 1m,Cables,35,85,100,20,6
888462496988,Cable Lightning-C IPhone 2M,Cables,70,93.5,110,20,0
7500463493850,Cable PD 20W C-Lightning Carga Rapida,Cables,50,68,80,20,2
7503027214403,Cable Tipo C 1Hra 1.5m,Cables,20,34,40,20,0
50,Cable Tipo C JAPI,Cables,12.5,29.75,35,20,0
7503027214274,Cable tipo C 1Hora 1m 2.1A,Cables,18,34,40,20,0
6974368773477,Cable Tipo C 1Hora Transp Negro,Cables,16,32.3,38,20,2
7503028615100,Cable Tipo C 1Hra 1m Caja Blanco,Cables,20,34,40,20,0
7503028615117,Cable Tipo C 1Hra 1m Caja Negro,Cables,25,34,40,20,0
7503027214281,Cable tipo Iphone 1Hora 1m 2.1A,Cables,18,34,40,20,0
7503027214243,Cable tipo V8 1Hora 1m 2.1A,Cables,18,29.75,35,20,0
6974368773781,Cable USB V8 2m 1Hora,Cables,22,44.2,52,20,0
6974368777307,Cable USB-C 1Hora 1m,Cables,18,38.25,45,20,10
7503027214380,Cable V8 1Hra 1.5m,Cables,20,29.75,35,20,0
6901010100008,Cable V8 5G Epoch,Cables,15,21.25,25,20,0
54,Cable V8 JAPI,Cables,11.5,25.5,30,20,1
7503028615087,Cable V8 1Hra 1m Caja Blanco,Cables,25,34,40,20,6
6974368775587,Cargador 1HORA 20W Tipo C-C,Cargadores,65,153,180,20,0
6974368775624,Cargador 1HORA Blanco C-C 30W,Cargadores,90,178.5,210,20,1
7503032542836,Cargador 1Hra C-C Carga Rápida,Cargadores,200,221,260,20,0
2775382824,Cargador Apple Watch 1m,Cargadores,85,170,200,20,0
194252156926,Cargador Iphone FoxConn,Cargadores,75,170,200,20,5
190198889966,Cargador Iphone Original Foxconn 35W,Cargadores,75,187,220,20,1
